;; okuri-ari entries.
わりあt /割り当/
みy /見/
ひろk /広/
とくn /特/
つかw /使/
つかt /使/
つかe /使/
つうj /通/
きりかe /切り替/
きt /切/
おもn /主/
おこなw /行/
おこなe /行/
おおk /多/
うしなw /失/
いろわk /色分/
あつかe /扱/

;; okuri-nasi entries.
あんごう /暗号/
あんごうか /暗号化/
あんぜんせい /安全性/
いじょう /異常/
いちじ /一時/
いちじてき /一時的/
いちぶ /一部/
いっぽう /一方/
いどう /移動/
おんせい /音声/
かいぎょう /改行/
かいせん /回線/
かいはつ /開発/
かいはつかんきょう /開発環境/
かていない /家庭内/
かていよう /家庭用/
かでん /家電/
かんすう /関数/
かんすうめい /関数名/
かんりしゃ /管理者/
がぞう /画像/
きき /機器/
きじゅつ /記述/
きどう /起動/
きのう /機能/
きほん /基本/
きほんてき /基本的/
きりとり /切り取り/
きんねん /近年/
ぎょうとう /行頭/
くうかん /空間/
くうはく /空白/
けいりょう /軽量/
けつらく /欠落/
けんげん /権限/
けんさく /検索/
げんご /言語/
げーむき /ゲーム機/
こうきのう /高機能/
こうせい /構成/
こうそく /高速/
こうちく /構築/
こうぶん /構文/
こうりつ /効率/
こうりつてき /効率的/
さいそう /再送/
さいりよう /再利用/
さくせい /作成/
しくみ /仕組み/
しゅつりょく /出力/
しゅつりょくそうち /出力装置/
しょうきぼ /小規模/
しょり /処理/
しょりけっか /処理結果/
しんらいせい /信頼性/
じっこう /実行/
じっこうちゅう /実行中/
じどう /自動/
じどうしゃ /自動車/
じゅうし /重視/
じゅうようせい /重要性/
じゅしん /受信/
じょうじ /常時/
せいぎょそうち /制御装置/
せかいじゅう /世界中/
せってい /設定/
せっていふぁいる /設定ファイル/
せっていへんこう /設定変更/
せつぞく /接続/
ぜんたい /全体/
そうごせつぞく /相互接続/
そうさほうほう /操作方法/
そうしん /送信/
そうじゅしん /送受信/
たいおう /対応/
たいせつ /大切/
たんご /単語/
たんじゅん /単純/
たんまつ /端末/
だいひょうてき /代表的/
ちかん /置換/
ちょうきかん /長期間/
つうしんかいせん /通信回線/
つうしんきそく /通信規則/
つうしんそくど /通信速度/
つうしんほうしき /通信方式/
つうじょう /通常/
ていき /定期/
ていきてき /定期的/
てじゅん /手順/
てま /手間/
てんそう /転送/
でんげん /電源/
とうごう /統合/
とうごうかいはつかんきょう /統合開発環境/
とちゅう /途中/
どうが /動画/
どうし /同士/
どうじ /同時/
ながねん /長年/
なんど /何度/
にしんすう /二進数/
にちじょうてき /日常的/
にゅうしゅつりょく /入出力/
にゅうしゅつりょくせいぎょ /入出力制御/
にゅうりょく /入力/
にゅうりょくそうち /入力装置/
はいち /配置/
はっせいじ /発生時/
はりつけ /貼り付け/
はんべつ /判別/
ばあい /場合/
ひょうじ /表示/
ひんしつ /品質/
ふあんてい /不安定/
ふせい /不正/
ふっきゅうさぎょう /復旧作業/
ふよう /不要/
ぶんしょ /文書/
へんかん /変換/
へんしゅうきのう /編集機能/
へんそう /返送/
ほうしき /方式/
ほかん /補完/
ほじ /保持/
むせん /無線/
むせんせつぞく /無線接続/
もじこーど /文字コード/
もじれつ /文字列/
やくわり /役割/
ゆうせん /有線/
ゆうせんせつぞく /有線接続/
ようと /用途/
ようりょう /容量/
りよう /利用/
りようけんげん /利用権限/
りようしゃ /利用者/
