;; okuri-ari entries.
よわk /弱/
よn /読/
よk /良/
やn /止/
みなおs /見直/
みt /見/
まk /撒/
ほそk /細/
ふt /振/
ふi /拭/
ひろすg /広過/
ひらi /開/
ひざs /陽射/
はだざむk /肌寒/
はいt /入/
のこt /残/
のn /飲/
ねむk /眠/
ねy /寝/
ぬr /濡/
にじm /滲/
ならn /並/
なおt /直/
なt /鳴/
なi /鳴/
ともt /灯/
とおk /遠/
でt /出/
つくt /作/
たちあg /立ち上/
たたk /叩/
そろe /揃/
しろp /白/
しめt /湿/
しみこn /染み込/
しずn /沈/
くらk /暗/
くもt /曇/
くみあw /組み合/
きりかe /切り替/
きt /来/
きi /聴/
きg /気/
かんj /感/
かるk /軽/
かきこn /書き込/
かt /買/
かi /書/
おもしろi /面白/
おもt /思/
おもk /重/
おどろi /驚/
おちつi /落ち着/
おおすg /多過/
おt /追/
うれs /嬉/
うまk /上手/
うすぐらi /薄暗/
うすあかr /薄明/
いt /行/言/
いn /居/
あるi /歩/
あいかw /相変/
あt /合/

;; okuri-nasi entries.
あした /明日/
あんごう /暗号/
あんごうか /暗号化/
いがい /意外/
いちにち /一日/
いっぽん /一本/
うらにわ /裏庭/
うりば /売り場/
おんど /温度/
かえりみち /帰り道/
かんかくてき /感覚的/
がめん /画面/
きつね /狐/
きつねび /狐火/
きょりかん /距離感/
くうき /空気/
くずれ /崩れ/
ぐあい /具合/
しっけ /湿気/
しゅうせい /修正/
しょり /処理/
じっさい /実際/
じみ /地味/
すいようび /水曜日/
せいび /整備/
せってい /設定/
たんじゅん /単純/
たんまつ /端末/
てんいん /店員/
てんめつ /点滅/
でんし /電子/
でんしおん /電子音/
でんせん /電線/
とちゅう /途中/
ど /℃/
ないぶ /内部/
なんど /何度/
なんわ /何羽/
にっき /日記/
にほん /日本/
にほんご /日本語/
にゅうりょく /入力/
にわ /二羽/
はで /派手/
はんはん /半々/
ばめん /場面/
ひづけ /日付/
ひとりごと /独り言/
ひょうじ /表示/
ひるま /昼間/
ひるまえ /昼前/
ふぐあい /不具合/
ふしぎ /不思議/
へんかん /変換/
むぎちゃ /麦茶/
むしぱん /蒸しパン/
もくようび /木曜日/
やまみち /山道/
ゆげ /湯気/
ようかん /羊羹/
ようご /用語/
れじぶくろ /レジ袋/
