;; okuri-ari entries.
りっs /律/
よびさm /呼び覚/
よn /呼/
やどt /宿/
もちこm /持ち込/
むすびつk /結び付/
むすn /結/
みぬk /見抜/
みつk /見付/
みいだs /見出/
みt /見/
みn /見/
まわt /回/
ほっs /欲/
ほうt /放/
ふるまt /振る舞/
ふみこn /踏み込/
ふくn /含/
ひきよs /引き寄/
ひk /惹/
ばかばかs /馬鹿馬鹿/
はいt /入/
はp /葉/
のみこm /飲み込/
のt /乗/
にt /似/
なんr /何/
ながれこm /流れ込/
とりこm /取り込/
とどm /留/
とt /取/
でてくr /出て来/
できt /出来/
できn /出来/
であt /出会/
でz /出/
でt /出/
つみかさn /積み重/
つなg /繋/
つづi /続/
つきつm /突き詰/
つかn /掴/
つかm /掴/
つi /付/
ちがt /違/
たんn /単/
たちあg /立ち上/
ただよt /漂/
たいs /対/
すくi /掬/
しんj /信/
しょうj /生/
しかたなi /仕方無/
しt /知/
さわt /触/
きりはなs /切り離/
きりとr /切り取/
きりすt /切り捨/
きょうみぶかi /興味深/
きめつk /決め付/
きt /来/
きi /聞/
きd /気/
かんじとt /感じ取/
かんがえこn /考え込/
かんがe /考/
かんj /感/
からn /絡/
かたりつk /語り尽/
かたよt /偏/
かたちづくr /形作/
かきかe /書き換/
おもしろk /面白/
おもしろi /面白/
おしつk /押し付/
おおs /多/
うみだs /生み出/
うまk /上手/
うけとr /受け取/
うけとm /受け止/
うけつk /植え付/
うけいr /受け入/
うi /浮/
いみぶかk /意味深/
いきのこt /生き残/
いきのこr /生き残/
いきのb /生き延/
いいきr /言い切/
いいかe /言い換/
いt /言/
いs /居/
いn /居/
ありえn /有り得/
あt /合/

;; okuri-nasi entries.
あっしゅく /圧縮/
いいかた /言い方/
いきもの /生き物/
いこう /移行/
いしきか /意識化/
いぞん /依存/
いちけいたい /一形態/
いちじ /一時/
いちじてき /一時的/
いちばん /一番/
いちぶ /一部/
いちぶぶん /一部分/
いっしゅ /一種/
いっしょ /一緒/
いっち /一致/
いっぽ /一歩/
いっぽう /一方/
いみづけ /意味付け/
いみてき /意味的/
いよく /意欲/
いんがかんけい /因果関係/
うちゅうてき /宇宙的/
うちゅうろん /宇宙論/
うりあげ /売上/
うんめいろん /運命論/
えいごう /永劫/
えいぞくてき /永続的/
えききょう /易経/
えんぎ /縁起/
おしひき /押し引き/
おもみ /重み/
おんだんか /温暖化/
かいかん /快感/
かいぎ /懐疑/
かいぎてき /懐疑的/
かいぞく /海賊/
かいらくじゅんのう /快楽順応/
かがくりろん /科学理論/
かくりつ /確立/
かせつ /仮説/
かたりて /語り手/
かちかん /価値観/
かのうせい /可能性/
から /〜/
かわすじ /川筋/
かんがえかた /考え方/
かんけいせい /関係性/
かんしん /関心/
かんそく /観測/
かんそくしゃ /観測者/
かんそくもんだい /観測問題/
かんち /感知/
かんりょうかん /完了感/
がいぶ /外部/
がくもん /学問/
きかいてき /機械的/
きかいろん /機械論/
きかん /器官/
きしょうしげん /希少資源/
きせき /奇跡/軌跡/
きそくせい /規則性/
きつね /狐/
きほん /基本/
きほんてき /基本的/
きゃっかんてき /客観的/
きょうかいせん /境界線/
きょうかいてき /境界的/
きょうじせい /共時性/
きょうそうかんきょう /競争環境/
きょうちょう /強調/
きょうめい /共鳴/
きょくしょ /局所/
きょくしょてき /局所的/
きょだいか /巨大化/
きれい /綺麗/
ぎじそうかん /擬似相関/
ぎゃくせつ /逆説/
くうかん /空間/
くぎり /区切り/
くさむら /草むら/
ぐうぜんせい /偶然性/
けっていろん /決定論/
けんしゅつ /検出/
けんしゅつき /検出器/
けんしょう /検証/
げんご /言語/
げんごか /言語化/
げんじつ /現実/
げんじつてき /現実的/
げんそう /幻想/
げんだいかがく /現代科学/
げんだいしゃかい /現代社会/
げんだいじん /現代人/
げんだいてき /現代的/
こうこく /広告/
こうじょうしん /向上心/
こうず /構図/
こうどう /行動/
こうふくかん /幸福感/
こうりつ /効率/
こうりつてき /効率的/
こたい /個体/
こたえかた /答え方/
こていか /固定化/
こてんてき /古典的/
こんげん /根源/
こんげんてき /根源的/
こんとん /混沌/
こんとんてき /混沌的/
ごうよく /強欲/
ごうり /合理/
ごうりしゅぎ /合理主義/
ごうりてき /合理的/
ごにん /誤認/
さいかい /再会/
さいき /再帰/
さいきてき /再帰的/
さいげん /再現/
さいご /最後/
さいしゅうてき /最終的/
さいてき /最適/
さいてきか /最適化/
さいにんしき /再認識/
さいりよう /再利用/
さきまわり /先回り/
さきよみ /先読み/
さくもつ /作物/
さんぶつ /産物/
しかた /仕方/
しげんか /資源化/
しさん /資産/
ししん /指針/
しじょう /市場/
してん /視点/
しゃかいぜんたい /社会全体/
しゃかいてき /社会的/
しゅうえん /終焉/
しゅうきょうてき /宗教的/
しゅうそく /収束/
しゅかん /主観/
しゅかんてき /主観的/
しゅぎ /主義/
しゅしゃせんたく /取捨選択/
しゅりゅう /主流/
しょうちょうてき /象徴的/
しょうひん /商品/
しょり /処理/
しんか /進化/
しんかろん /進化論/
しんがく /神学/
しんがくてき /神学的/
しんぴしゅぎ /神秘主義/
しんり /心理/
しんりがく /心理学/
しんりがくしゃ /心理学者/
しんりこうぞう /心理構造/
しんろ /進路/
じこいじ /自己維持/
じこかいしゃく /自己解釈/
じこけいはつ /自己啓発/
じこそしきか /自己組織化/
じこぞうしょく /自己増殖/
じこにんしき /自己認識/
じこはってん /自己発展/
じしん /自身/
じじつ /事実/
じぞくてき /持続的/
じたい /自体/
じだい /時代/
じっかん /実感/
じっこう /実行/
じっさい /実際/
じっしつ /実質/
じっしつてき /実質的/
じっせんじょう /実践上/
じぶんじしん /自分自身/
じゅうし /重視/
じゅうぶん /十分/
じゅうようせい /重要性/
じゅどう /受動/
じゅどうてき /受動的/
じゅんかんこうぞう /循環構造/
じょうげん /上限/
じょうじ /常時/
じょうほうぎじゅつ /情報技術/
じょうほうくうかん /情報空間/
じょうほうてき /情報的/
じょうほうろん /情報論/
じんかく /人格/
じんせい /人生/
じんるい /人類/
すいりゅう /水流/
すんぜん /寸前/
せいごう /整合/
せいごうせい /整合性/
せいごうてき /整合的/
せいさんせい /生産性/
せいしき /正式/
せいしきめいしょう /正式名称/
せいせい /生成/
せいぞん /生存/
せいぞんせんりゃく /生存戦略/
せいぶつ /生物/
せいぶつがく /生物学/
せいぶつしんか /生物進化/
せいめいけん /生命圏/
せいめいしげん /生命資源/
せいやく /制約/
せいよう /西洋/
せいりつ /成立/
せかいじゅう /世界中/
せかいぜんたい /世界全体/
せっけい /設計/
せっち /接地/
せってい /設定/
せつぞく /接続/
せんたくかんそくこうか /選択観測効果/
せんたくてき /選択的/
せんべつ /選別/
せんりゃく /戦略/
ぜったいしんこう /絶対信仰/
ぜったいてき /絶対的/
ぜつぼう /絶望/
ぜんたい /全体/
ぜんたいせい /全体性/
そうあたり /総当たり/
そうかん /相関/
そうさく /創作/
そうさくてき /創作的/
そうぞうせい /創造性/
そうはつ /創発/
そせん /祖先/
そんざいりゆう /存在理由/
ぞうしょく /増殖/
ぞうふく /増幅/
たいいきてき /大域的/
たいおう /対応/
たいおうかんけい /対応関係/
たいど /態度/
たくさん /沢山/
たっせい /達成/
たっせいご /達成後/
たにん /他人/
たよう /多様/
たようせい /多様性/
たんいつ /単一/
たんさく /探索/
たんじゅん /単純/
だいさん /第三/
ちい /地位/
ちきゅうおんだんか /地球温暖化/
ちきゅうかんきょう /地球環境/
ちきゅうきぼ /地球規模/
ちせい /知性/
ちせいけん /知性圏/
ちせいたい /知性体/
ちゃくち /着地/
ちゅうしんもんだい /中心問題/
ちゅうもく /注目/
ちょうしぜん /超自然/
ちょうしぜんてき /超自然的/
ちょくせつてき /直接的/
ちょくせん /直線/
ちょくせんてき /直線的/
ちょっかん /直観/
ちょっけつ /直結/
つうじょう /通常/
ていぎ /定義/
てきおう /適応/
てきよう /適用/
てつがくてき /哲学的/
てん /・/
てんき /転機/
てんてん /…/
できししゃ /溺死者/
とうけいてき /統計的/
とうごう /統合/
とうにん /当人/
とうよう /東洋/
とうようしそう /東洋思想/
とくてい /特定/
とつぜんへんい /突然変異/
どうき /同期/
どうじ /同時/
どくかい /読解/
どくかいりょく /読解力/
ないざい /内在/
ないざいてき /内在的/
ないぶ /内部/
ないぶか /内部化/
なにか /何か/
なんど /何度/
にまい /二枚/
にんき /人気/
にんきもの /人気者/
にんげんかんけい /人間関係/
にんげんげんり /人間原理/
にんしきりょく /認識力/
にんち /認知/
にんちかがく /認知科学/
ねつてきし /熱的死/
はっけん /発見/
はっそう /発想/
はったつ /発達/
はっぱ /葉っぱ/
ばか /馬鹿/
ばんのう /万能/
ばんのうせい /万能性/
ひごうり /非合理/
ひとこと /一言/
ひとびと /人々/
ふあんてい /不安定/
ふかのう /不可能/
ふかんぜん /不完全/
ふくざつか /複雑化/
ふくざつけい /複雑系/
ふしぎ /不思議/
ふしめ /節目/
ふそく /不足/
ふのう /不能/
ぶっきょう /仏教/
ぶつり /物理/
ぶつりがく /物理学/
ぶつりゅう /物流/
ぶんきてん /分岐点/
ぶんさん /分散/
ぶんみゃく /文脈/
ぶんめい /文明/
へんい /変異/
へんしつ /変質/
べつべつ /別々/
ほうこう /方向/
ほうこうせい /方向性/
ほしょう /保証/
ほしょく /捕食/
ほしょくしゃ /捕食者/
ほんしつてき /本質的/
ほんとう /本当/
ほんのう /本能/
ほんのうてき /本能的/
まちがい /間違い/
みえかた /見え方/
みかた /見方/
みかんりょう /未完了/
みぎ /→/
みせってい /未設定/
みち /未知/
むいみ /無意味/
むげん /無限/
むすう /無数/
むせいげん /無制限/
むもくてき /無目的/
めいしん /迷信/
めまい /眩暈/
もくてきか /目的化/
もくてきろん /目的論/
ものがたりか /物語化/
ゆうい /有意/
ゆういせい /有意性/
ゆうげん /有限/
ゆうげんか /有限化/
ゆうげんせい /有限性/
ゆうせん /優先/
ゆうせんてき /優先的/
ゆうせんど /優先度/
ゆうどう /誘導/
ゆうり /有利/
ようそ /要素/
よそく /予測/
よっきゅう /欲求/
りきがく /力学/
りきがくけい /力学系/
りせいてき /理性的/
りゅうろ /流路/
りょういき /領域/
りょうほう /両方/
りよう /利用/
りろん /理論/
れいぞう /冷蔵/
れいぞうこ /冷蔵庫/
れんそう /連想/
れんぞくせい /連続性/
ろんりてき /論理的/
わだいせい /話題性/
