;; okuri-ari entries.
わるk /悪/
よみとr /読み取/
よk /良/
やくにたt /役に立/
みt /見/
まちがt /間違/
ふかk /深/
つよk /強/
ちゅういぶかk /注意深/
しんじこn /信じ込/
しんj /信/
きめつk /決め付/
きt /来/
かたちづくr /形作/
かきかe /書き換/
おもいつi /思い付/
おもいこm /思い込/
おこなw /行/
おこなe /行/
おおk /多/
えt /得/
うけつg /受け継/
うけいr /受け入/
いきのこr /生き残/
いt /行/

;; okuri-nasi entries.
いがい /意外/
いきもの /生き物/
いちれん /一連/
いってい /一定/
いでん /遺伝/
いでんし /遺伝子/
いでんじょうほう /遺伝情報/
いんしょうてき /印象的/
えいようがく /栄養学/
えいようそ /栄養素/
かいぜん /改善/
かいはつ /開発/
かがくはんのう /化学反応/
かせつ /仮説/
かだい /課題/
かんがえかた /考え方/
かんきょうもんだい /環境問題/
かんせん /感染/
かんせんしょう /感染症/
かんそく /観測/
かんそくそうち /観測装置/
かんちがい /勘違い/
きょうせい /共生/
きんねん /近年/
けんきゅうしゃ /研究者/
けんきゅうたいしょう /研究対象/
けんしょう /検証/
こうせい /構成/
こうそ /酵素/
こうりつ /効率/
こたい /個体/
ごうせい /合成/
さいげん /再現/
さいげんせい /再現性/
さいご /最後/
しくみ /仕組み/
しぜんせんたく /自然選択/
しゅうせい /修正/
しょうか /消化/
しんか /進化/
しんかてき /進化的/
しんかろん /進化論/
しんじつ /真実/
しんらいせい /信頼性/
じしん /自信/自身/
じぶんじしん /自分自身/
じゅうし /重視/
じれい /事例/
じんるい /人類/
すうけん /数件/
せいたい /生態/
せいたいけい /生態系/
せいぶつ /生物/
せいぶつがく /生物学/
せいめいかつどう /生命活動/
せっけい /設計/
せっけいず /設計図/
ぜんたい /全体/
そうごさよう /相互作用/
そくてい /測定/
そくていほうほう /測定方法/
たいけん /体験/
たいけんだん /体験談/
たいしつ /体質/
たいせつ /大切/
たいど /態度/
たいない /体内/
たいりょう /大量/
たんじかん /短時間/
たんじゅん /単純/
たんぱくしつ /タンパク質/
ちゅうしんてき /中心的/
ちょうない /腸内/
ちょっけつ /直結/
てきおう /適応/
てじゅん /手順/
とつぜんへんい /突然変異/
どうし /同士/
ないぶ /内部/
にちじょうせいかつ /日常生活/
はいしゅつ /排出/
ばあい /場合/
ひかくてき /比較的/
びせいぶつ /微生物/
ふよう /不要/
ぶんし /分子/
ぶんたん /分担/
へんい /変異/
ほうほうろん /方法論/
ほんとう /本当/
まちがい /間違い/
みりょくてき /魅力的/
むち /無知/
めんえき /免疫/
ものごと /物事/
やくわり /役割/
りよう /利用/
りろん /理論/
