;; okuri-ari entries.
わらt /笑/
わたt /渡/
よn /呼/
みあg /見上/
みt /見/
みn /見/
ほそk /細/
ふるw /震/
ふりかえr /振り返/
ふたたb /再/
ひらi /開/
ひくk /低/
のt /乗/
のm /呑/
にじn /滲/
ながk /長/
なt /鳴/
なm /舐/
なi /鳴/
とりだs /取り出/
ともr /灯/
とどi /届/
とおk /遠/
とn /飛/
つよk /強/
つr /吊/
つi /着/
すわt /座/
しろk /白/
こn /来/込/
くらk /暗/
きw /気/
きt /来/
きm /来/
きi /聞/
かるk /軽/
おi /置/
うなずi /頷/
うしなt /失/
いろあs /色褪/
いt /行/言/
あるi /歩/
あs /褪/

;; okuri-nasi entries.
あめだま /飴玉/
いっぴき /一匹/
かいさつ /改札/
かばん /鞄/
かわかぜ /川風/
きばこ /木箱/
きもち /気持ち/
くうき /空気/
しゃたい /車体/
じこくひょう /時刻表/
すうにん /数人/
せいふく /制服/
せいふくすがた /制服姿/
ちゃとらねこ /茶トラ猫/
ていしゃば /停車場/
どて /土手/
ねんげつ /年月/
はんきょう /反響/
ばいてん /売店/
ひも /紐/
ふしぎ /不思議/
ほんとう /本当/
まえあし /前足/
まどがらす /窓ガラス/
みせばん /店番/
やりとり /やり取り/
ゆうぐれ /夕暮れ/
ゆのみ /湯呑み/
わかば /若葉/
