;; okuri-ari entries.
やくだt /役立/
めざs /目指/
めぐt /巡/
むすびつi /結び付/
まもt /守/
ふたたb /再/
ふくn /含/
ふうじこm /封じ込/
ひきおk /引き起/
とりいr /取り入/
でt /出/
てきs /適/
つづi /続/
つうj /通/
たんn /単/
かんj /感/
おこなw /行/
おきかe /置き換/
おおs /多/
おおk /多/
えt /得/
うみだs /生み出/
うけとr /受け取/
あやまt /誤/

;; okuri-nasi entries.
あっか /悪化/
あんしん /安心/
いちぶ /一部/
いってい /一定/
いっぽう /一方/
いどう /移動/
いりょうきかん /医療機関/
いりょうじゅうじしゃ /医療従事者/
いりょうたいせい /医療体制/
いりょうほけん /医療保険/
いんりょうすい /飲料水/
うわさ /噂/
うんえい /運営/
えいせいかんきょう /衛生環境/
えいせいてき /衛生的/
えぼらしゅっけつねつ /エボラ出血熱/
えんしん /延伸/
かいぜん /改善/
かいはつ /開発/
かがくぎじゅつ /科学技術/
かくさ /格差/
かくち /各地/
かだい /課題/
かちかん /価値観/
かっこく /各国/
かっぱつ /活発/
かのうせい /可能性/
かんがえかた /考え方/
かんきょうもんだい /環境問題/
かんせん /感染/
かんせんかくだい /感染拡大/
かんせんけいろ /感染経路/
かんせんしゃ /感染者/
かんせんしょう /感染症/
がいこう /外交/
きかん /機関/
きこうへんどう /気候変動/
きほん /基本/
きゅうげき /急激/
きゅうじん /求人/
きゅうぞう /急増/
きょうゆう /共有/
きんねん /近年/
きんり /金利/
ぎかい /議会/
ぎじゅつかくしん /技術革新/
ぎのう /技能/
くみあい /組合/
けいざいかつどう /経済活動/
けいざいせいちょう /経済成長/
けいざいせいど /経済制度/
けいぞくてき /継続的/
けいやくしゃいん /契約社員/
けいろ /経路/
けんきゅうきかん /研究機関/
けんげん /権限/
けんさぎじゅつ /検査技術/
げらく /下落/
げんだいしゃかい /現代社会/
こうぎょう /工業/
こうぎょうせいひん /工業製品/
こうしゅう /公衆/
こうしゅうえいせい /公衆衛生/
こうどう /行動/
こうりつ /効率/
こうれい /高齢/
こうれいか /高齢化/
こうれいしゃ /高齢者/
こかつ /枯渇/
こくさいかんけい /国際関係/
こくさいきかん /国際機関/
こくさいきょうりょく /国際協力/
こくさいしゃかい /国際社会/
こくさいせいじ /国際政治/
こっきょう /国境/
ごじょうほう /誤情報/
さいせい /再生/
さいせいかのう /再生可能/
さいてい /最低/
さいていちんぎん /最低賃金/
ざいたくきんむ /在宅勤務/
しえん /支援/
しくみ /仕組み/
しさん /資産/
しじょう /市場/
しじょうけいざい /市場経済/
しつぎょう /失業/
しつぎょうしゃ /失業者/
しほう /司法/
しほんしゅぎ /資本主義/
しゃかいかつどう /社会活動/
しゃかいしゅぎ /社会主義/
しゃかいぜんたい /社会全体/
しゃかいふあん /社会不安/
しゃかいほしょう /社会保障/
しゅぎ /主義/
しゅっけつ /出血/
しょうし /少子/
しょうしげん /省資源/
しょうしこうれいか /少子高齢化/
しょうどく /消毒/
しょうひしゃ /消費者/
しょうひん /商品/
しんがた /新型/
しんきん /真菌/
じき /時期/
じぎょう /事業/
じだい /時代/
じっこう /実行/
じどう /自動/
じどうか /自動化/
じどうかぎじゅつ /自動化技術/
じゅうし /重視/
じゅうしょうか /重症化/
じゅうじしゃ /従事者/
じゅうなんせい /柔軟性/
じゅうぶん /十分/
じょうげすいどう /上下水道/
じょうほうぎじゅつ /情報技術/
じんこうちのう /人工知能/
すいどう /水道/
せいか /成果/
せいかつかんきょう /生活環境/
せいき /正規/
せいさんしゅだん /生産手段/
せいさんせい /生産性/
せいひん /製品/
せいび /整備/
せかいかくち /世界各地/
せかいじゅう /世界中/
せかいてき /世界的/
せっきゃく /接客/
せっしゅ /接種/
ぜろ /〇/
ぜんたい /全体/
そうぞうせい /創造性/
たいおう /対応/
たいせい /体制/
たいせつ /大切/
たいりょう /大量/
たいりょうしょうひ /大量消費/
たいりょうせいさん /大量生産/
たいわ /対話/
たんじかん /短時間/
たんじゅん /単純/
だいひょうしゃ /代表者/
だいひょうてき /代表的/
だんたい /団体/
ちしりつ /致死率/
ちのう /知能/
ちょうじかん /長時間/
ちょうじかんろうどう /長時間労働/
ちりょうひ /治療費/
てあらい /手洗い/
ていか /低下/
ていちんぎん /低賃金/
とりくみ /取り組み/
とりひき /取引/
どうじ /同時/
にじゅう /二十/
にじゅっせいき /二十世紀/
にんき /人気/
ねんきん /年金/
ねんきんせいど /年金制度/
はたらきかた /働き方/
はっしん /発信/
はんだんりょく /判断力/
はんめん /反面/
ばあい /場合/
ばんのう /万能/
ひせいきこよう /非正規雇用/
ひとでぶそく /人手不足/
ひとびと /人々/
びょうげんたい /病原体/
ふあんてい /不安定/
ふくしせいど /福祉制度/
ふけいき /不景気/
ふそく /不足/
ぶっか /物価/
ぶんぱい /分配/
へいきんじゅみょう /平均寿命/
へんどう /変動/
ほけんりょう /保険料/
ほしょう /保障/
みんしゅしゅぎ /民主主義/
やくわり /役割/
ゆうこう /有効/
ゆうし /融資/
よぼうせっしゅ /予防接種/
りっぽう /立法/
りゅうつう /流通/
りょうしゃ /両者/
りょうどもんだい /領土問題/
りょうほう /両方/
りよう /利用/
りようしゃ /利用者/
れいせん /冷戦/
れきしにんしき /歴史認識/
ろうどうかんきょう /労働環境/
ろうどうきじゅんほう /労働基準法/
ろうどうくみあい /労働組合/
ろうどうしゃ /労働者/
ろうどうじかん /労働時間/
ろうどうじょうけん /労働条件/
