;; okuri-ari entries.

;; okuri-nasi entries.
あいち /Aichi/愛知/
あいちけん /Aichi-ken/愛知県/
あおもり /Aomori/青森/
あおもりけん /Aomori-ken/青森県/
あきた /Akita/秋田/
あきたけん /Akita-ken/秋田県/
いしかわ /Ishikawa/石川/
いしかわけん /Ishikawa-ken/石川県/
いちがつ /一月/
いつか /五日/
いばらき /Ibaraki/茨木/
いばらきけん /Ibaraki-ken/茨木県/
いわて /Iwate/岩手/
いわてけん /Iwate-ken/岩手県/
うづき /卯月/
えひめ /Ehime/愛媛/
えひめけん /Ehime-ken/愛媛県/
おおいた /Oita/大分/
おおいたけん /Oita-ken/大分県/
おおさか /Osaka/大阪/
おおさかふ /Osaka-fu/大阪府/
おかやま /Okayama/岡山/
おかやまけん /Okayama-ken/岡山県/
おきなわ /Okinawa/沖縄/
おきなわけん /Okinawa-ken/沖縄県/
かがわ /Kagawa/香川/
かがわけん /Kagawa-ken/香川県/
かごしま /Kagoshima/鹿児島/
かごしまけん /Kagoshima-ken/鹿児島県/
かながわ /Kanagawa/神奈川/
かながわけん /Kanagawa-ken/神奈川県/
かんなづき /神無月/
きさらぎ /如月/
きょうと /Kyoto/京都/
きょうとふ /Kyoto-fu/京都府/
ぎふ /Gifu/岐阜/
ぎふけん /Gifu-ken/岐阜県/
くがつ /九月/
くまもと /Kumamoto/熊本/
くまもとけん /Kumamoto-ken/熊本県/
ぐんま /Gumma/群馬/
ぐんまけん /Gumma-ken/群馬県/
こうち /Kochi/高知/
こうちけん /Kochi-ken/高知県/
ここのか /九日/
ごがつ /五月/
さいたま /Saitama/埼玉/
さいたまけん /Saitama-ken/埼玉県/
さが /Saga/佐賀/
さがけん /Saga-ken/佐賀県/
さつき /皐月/
さんがつ /三月/
しが /Shiga/滋賀/
しがけん /Shiga-ken/滋賀県/
しがつ /四月/
しずおか /Shizuoka/静岡/
しずおかけん /Shizuoka-ken/静岡県/
しちがつ /七月/
しまね /Shimane/島根/
しまねけん /Shimane-ken/島根県/
しもつき /霜月/
しょうわ /昭和/
しわす /師走/
じゅういちがつ /十一月/
じゅうがつ /十月/
じゅうにがつ /十二月/
たいしょう /大正/
ちば /Chiba/千葉/
ちばけん /Chiba-ken/千葉県/
ついたち /一日/
とうきょう /Tokyo/東京/
とうきょうと /Tokyo-to/東京都/
とおか /十日/
とくしま /Tokushima/徳島/
とくしまけん /Tokushima-ken/徳島県/
とちぎ /Tochigi/栃木/
とちぎけん /Tochigi-ken/栃木県/
とっとり /Tottori/鳥取/
とっとりけん /Tottori-ken/鳥取県/
とやま /Toyama/富山/
とやまけん /Toyama-ken/富山県/
ながさき /Nagasaki/長崎/
ながさきけん /Nagasaki-ken/長崎県/
ながつき /長月/
ながの /Nagano/長野/
ながのけん /Nagano-ken/長野県/
なのか /七日/
なら /Nara/奈良/
ならけん /Nara-ken/奈良県/
にいがた /Niigata/新潟/
にいがたけん /Niigata-ken/新潟県/
にがつ /二月/
はちがつ /八月/
はつか /二十日/
はづき /葉月/
ひょうご /Hyogo/兵庫/
ひょうごけん /Hyogo-ken/兵庫県/
ひろしま /Hiroshima/広島/
ひろしまけん /Hiroshima-ken/広島県/
ふくい /Fukui/福井/
ふくいけん /Fukui-ken/福井県/
ふくおか /Fukuoka/福岡/
ふくおかけん /Fukuoka-ken/福岡県/
ふくしま /Fukushima/福島/
ふくしまけん /Fukushima-ken/福島県/
ふつか /二日/
ふみづき /文月/
へいせい /平成/
ほっかいどう /Hokkaido/北海道/
みえ /Mie/三重/
みえけん /Mie-ken/三重県/
みっか /三日/
みなづき /水無月/
みやぎ /Miyagi/宮城/
みやぎけん /Miyagi-ken/宮城県/
みやざき /Miyazaki/宮崎/
みやざきけん /Miyazaki-ken/宮崎県/
むいか /六日/
むつき /睦月/
めいじ /明治/
やまがた /Yamagata/山形/
やまがたけん /Yamagata-ken/山形県/
やまぐち /Yamaguchi/山口/
やまぐちけん /Yamaguchi-ken/山口県/
やまなし /Yamanashi/山梨/
やまなしけん /Yamanashi-ken/山梨県/
やよい /弥生/
ようか /八日/
よっか /四日/
れいわ /令和/
ろくがつ /六月/
わかやま /Wakayama/和歌山/
わかやまけん /Wakayama-ken/和歌山県/
